place,category,searchcount,blogbuzz
아산스파비스,체험관광,49046,1249
파라다이스스파도고,체험관광,35164,1055
하늘물빛정원,체험관광,22495,738
팜카밀레허브농원,체험관광,21646,515
아그로랜드태신목장,체험관광,20323,1050
아름다운정원화수목,체험관광,16484,365
선도리갯벌체험마을,체험관광,6432,196
스플라스워터파크,체험관광,6162,1795
신천탕,체험관광,5139,140
금강온천,체험관광,3220,2354
병술만어촌체험마을,체험관광,2560,69
한채당한옥체험관,체험관광,1777,57
해오름관광농원,체험관광,1406,108
아일랜드리솜오아식스선셋스파,체험관광,1361,621
중리어촌체험마을,체험관광,1115,81
만대어촌체험마을,체험관광,1068,38
은행마을,체험관광,615,67077
팔봉갯벌체험장,체험관광,530,43
부여기와마을,체험관광,373,888
웅도어촌체험마을,체험관광,333,87
공주치즈스쿨,체험관광,288,685
상양관광농원,체험관광,287,12
홍산관광농원,체험관광,276,19
월하성어촌체험마을,체험관광,232,35
아리랜드,체험관광,200,1614
마곡온천,체험관광,114,498
서산관광농원,체험관광,68,323
칠갑산산꽃마을,체험관광,44,66
서산관광농원,체험관광,33,323
아산레일바이크,레저스포츠,25321,150
칠갑산휴양랜드,레저스포츠,22471,81
덕바위눈썰매장,레저스포츠,10798,68
태안솔향기길1코스,레저스포츠,3290,5809
태안해변길5코스,레저스포츠,2052,37939
서천특화시장,쇼핑,83047,1160
대천항수산시장,쇼핑,74576,1055
안면도수산시장,쇼핑,61245,2732
천안중앙시장,쇼핑,60370,8496
공주산성시장,쇼핑,35713,2912
서산동부전통시장,쇼핑,30777,319
금산인삼약령시장,쇼핑,27383,85
태안서부시장,쇼핑,19377,962
당진전통시장,쇼핑,17895,1841
강경젓갈시장,쇼핑,17397,507
온양온천시장,쇼핑,16660,579
광천토굴새우젓시장,쇼핑,12795,254
보령중앙시장,쇼핑,11024,217
부여중앙시장,쇼핑,8050,17872
무창포수산물시장,쇼핑,6009,231
홍성5일정기시장,쇼핑,4038,46
장항전통시장,쇼핑,3542,671
천안역전시장,쇼핑,1590,1232
예산5일장,쇼핑,1313,431
금산인삼국제시장,쇼핑,1029,267
부여5일장,쇼핑,292,357
금산장,쇼핑,74,60
산성시장 활성화구역,쇼핑,59,222
부여장,쇼핑,38,96
동학사,역사관광,133741,15212
해미읍성,역사관광,118347,7618
수덕사,역사관광,103187,7360
마곡사,역사관광,75345,6548
공산성,역사관광,68718,12573
궁남지,역사관광,63291,7158
현충사,역사관광,56620,5591
외암리민속마을,역사관광,53206,765
개심사,역사관광,44298,4323
간월암,역사관광,41428,3484
서산유기방가옥,역사관광,36254,2909
갑사,역사관광,35471,6809
각원사,역사관광,29790,2395
안면암,역사관광,23996,1294
무령왕릉,역사관광,23498,6040
공주한옥마을,역사관광,22091,5662
솔뫼성지,역사관광,18992,1567
광덕사,역사관광,18350,1480
신원사,역사관광,16869,1563
낙화암,역사관광,15783,3457
관촉사,역사관광,13976,1639
문수사,역사관광,13530,3283
추사고택,역사관광,12017,1434
장곡사,역사관광,10444,1024
서산마애여래삼존상,역사관광,9269,674
마량리동백나무숲,역사관광,8761,689
정림사지5층석탑,역사관광,8339,1431
부소산성,역사관광,7831,3112
부석사,역사관광,7349,9804
부소산성,역사관광,7173,3112
동백정,역사관광,7037,669
무량사,역사관광,6834,1773
봉곡사,역사관광,6665,460
충청수영성,역사관광,5863,1053
조양문,역사관광,5247,352
흑성산성,역사관광,5210,212
칠백의총,역사관광,5138,368
면천읍성,역사관광,5083,900
쌍계사,역사관광,4882,9033
논산명재고택,역사관광,3876,734
충의사,역사관광,3851,892
보석사,역사관광,3762,541
성불사,역사관광,3727,2378
유관순열사생가,역사관광,3653,528
돈암서원,역사관광,3530,1282
김좌진장군생가지,역사관광,3082,148
수리치골성지,역사관광,2880,110
부여왕릉원,역사관광,2839,926
개태사,역사관광,2617,552
향천사,역사관광,2617,257
부소산성,역사관광,2615,3112
공주공산성연지,역사관광,2548,334
문헌서원,역사관광,2285,2422
무상사,역사관광,2280,1523
홍주읍성,역사관광,2267,763
학림사,역사관광,2171,481
홍주의사총,역사관광,2116,127
지장정사,역사관광,2115,1027
한용운선생생가지,역사관광,2045,106
공주중동성당,역사관광,2044,572
견훤왕릉,역사관광,1894,459
구룡사,역사관광,1781,3449
남연군묘,역사관광,1712,805
아산윤보선대통령생가,역사관광,1701,43
구룡사,역사관광,1699,3449
성주사지,역사관광,1698,1240
계백장군유적지,역사관광,1638,360
서산보원사지,역사관광,1603,505
모덕사,역사관광,1557,208
영랑사,역사관광,1551,98
고란사,역사관광,1485,1656
계룡산도예촌,역사관광,1388,125
성곡사,역사관광,1383,47
서광사,역사관광,1339,774
개심사대웅전,역사관광,1291,536
승천사,역사관광,1200,268
가림성,역사관광,1182,518
안흥성,역사관광,1162,190
안심사,역사관광,1157,402
흥주사,역사관광,1108,142
여사울성지,역사관광,1068,190
당진필경사,역사관광,1036,175
천안향교,역사관광,966,793
이종일선생생가지,역사관광,920,65
부여금사리성당,역사관광,915,58
태을암,역사관광,867,202
대조사,역사관광,851,570
계백장군묘,역사관광,837,201
천안봉선홍경사갈기비,역사관광,796,123
세심사,역사관광,780,175
천장사,역사관광,780,163
유관순열사유적지,역사관광,750,219
신경섭가옥,역사관광,694,142
김좌진장군묘,역사관광,692,103
이동녕선생생가지,역사관광,632,78
신원사대웅전,역사관광,610,293
개삼터,역사관광,603,168
면천향교,역사관광,564,197
일락사,역사관광,541,158
정암사,역사관광,536,2302
인취사,역사관광,483,41
온양향교,역사관광,479,222
동혈사,역사관광,445,77
수북정,역사관광,442,139
광덕사,역사관광,424,1480
보덕사,역사관광,411,738
당진안국사지매향암각,역사관광,363,22
토정이지함선생묘,역사관광,349,63
연산향교,역사관광,339,305
용봉사,역사관광,333,410
무량사,역사관광,313,1773
안국사지석불입상,역사관광,289,36
황무실성지,역사관광,269,56
충곡서원,역사관광,243,124
안국사지석탑,역사관광,240,79
공주향교,역사관광,236,1267
정순왕후생가,역사관광,229,103
구한일은행강경지점,역사관광,229,669
임존성,역사관광,223,727
보원사지오층석탑,역사관광,215,119
대흥향교,역사관광,209,230
고산사,역사관광,200,329
죽사,역사관광,181,726
태국사,역사관광,171,70
부여관북리백제유적,역사관광,168,650
봉서사,역사관광,167,198
오천향교,역사관광,165,248
결성향교,역사관광,165,300
예산향교,역사관광,165,921
백운사,역사관광,156,1411
고란사,역사관광,150,1656
공주구룡사지,역사관광,141,41
보령향교,역사관광,132,224
망일사,역사관광,127,22
백운사,역사관광,126,1411
부여송국리유적,역사관광,125,218
해미향교,역사관광,115,384
보광사,역사관광,115,3232
병천순대거리,음식,61760,2096
카페모월,음식,7569,723
레이크힐제빵소,음식,5932,289
독립기념관,문화관광,159573,13465
상화원,문화관광,51812,2285
청산수목원,문화관광,50350,2088
안면도쥬라기박물관,문화관광,46416,965
태안세계튤립축제,문화관광,38189,1356
백제문화단지,문화관광,32212,3583
유구색동수국정원,문화관광,30851,1662
장항스카이워크,문화관광,30657,2115
국립부여박물관,문화관광,30231,2080
개화예술공원,문화관광,27911,1589
중앙호수공원,문화관광,27873,20042
국립공주박물관,문화관광,26410,2215
피나클랜드,문화관광,25887,1553
천안박물관,문화관광,25364,863
삽교호함상공원,문화관광,24470,858
선샤인랜드,문화관광,20618,3331
세계꽃식물원,문화관광,19404,1281
천안상록리조트,문화관광,17664,279
아산생태곤충원,문화관광,15083,395
코리아플라워파크,문화관광,13670,1556
석장리박물관,문화관광,12417,962
보령석탄박물관,문화관광,11796,449
천안삼거리공원,문화관광,11593,1572
보령머드축제,문화관광,11293,4464
장영실과학관,문화관광,10075,696
금산인삼축제,문화관광,9922,1080
온양민속박물관,문화관광,9302,961
천안홍대용과학관,문화관광,9172,548
탑정호수변생태공원,문화관광,7911,618
연미산자연미술공원,문화관광,7689,800
당진전력문화홍보관,문화관광,7065,44
청수호수공원,문화관광,6526,961
유관순열사기념관,문화관광,6107,507
보령에너지월드,문화관광,5602,1029
속동전망대,문화관광,5222,325
예산황새공원,문화관광,5197,843
계룡산자연사박물관,문화관광,4960,137
구드래조각공원,문화관광,4732,350
고운식물원,문화관광,4646,402
윤봉길의사기념관,문화관광,4326,1978
백제군사박물관,문화관광,3944,410
선샤인스튜디오,문화관광,3866,2329
당림미술관,문화관광,3806,304
계룡문화예술의전당,문화관광,3579,199
선장포노을공원,문화관광,3415,109
꽃지해안공원,문화관광,3342,1103
합덕수리민속박물관,문화관광,3337,251
리각미술관,문화관광,3303,304
청양군목재문화자연사체험관,문화관광,3111,253
천안아산역동광장,문화관광,2963,14
이안숲속,문화관광,2825,1091
충청남도역사박물관,문화관광,2824,156
정안천생태공원,문화관광,2395,451
국립해양문화재연구소국립태안해양유물전시관,문화관광,2334,530
아산코미디홀,문화관광,2014,168
백제역사문화관,문화관광,1893,570
백제문화체험박물관,문화관광,1893,1400
중앙공원,문화관광,1872,45320
금학생태공원,문화관광,1759,226
금산인삼관,문화관광,1663,358
오마이갤러리,문화관광,1628,2220
영인산산림박물관,문화관광,1579,308
고남패총박물관,문화관광,1571,153
예당관광지,문화관광,1559,885
보령물빛공원,문화관광,1504,68
공주산성시장문화공원,문화관광,1476,5555
보령머드박물관,문화관광,1449,667
아산환경과학공원,문화관광,1288,362
금산역사문화박물관,문화관광,1259,224
천안예술의전당미술관,문화관광,1242,223
무궁화학습원,문화관광,1203,96
성주산전망대,문화관광,1161,358
유류피해극복기념관,문화관광,919,259
백제오감체험관,문화관광,854,353
서동공원,문화관광,623,4893
꽃지해수욕장,자연관광,174713,10547
삼길포항,자연관광,123048,2142
몽산포해수욕장,자연관광,117878,2524
대천항,자연관광,102870,5862
만리포해수욕장,자연관광,98856,4143
남당항,자연관광,90606,5022
장고항,자연관광,87232,2982
무창포해수욕장,자연관광,72142,2979
홍원항,자연관광,68481,2275
춘장대해수욕장,자연관광,59536,2050
백사장항,자연관광,56587,2513
청포대해수욕장,자연관광,53384,1958
한진포구,자연관광,52687,1198
왜목마을해수욕장,자연관광,51844,1736
오천항,자연관광,48869,4474
천리포수목원,자연관광,47641,4700
안면도자연휴양림,자연관광,45965,1896
탑정호,자연관광,42287,6908
안면도,자연관광,38266,49330
영목항,자연관광,37649,2034
영인산자연휴양림,자연관광,34855,915
원산도해수욕장,자연관광,33757,3893
예당저수지,자연관광,26439,3043
간월도마을,자연관광,23274,552
파도리해수욕장,자연관광,23255,3063
안흥항,자연관광,22722,851
삼봉해수욕장,자연관광,22410,1468
마검포해수욕장,자연관광,21730,1043
원산도,자연관광,21108,8138
장항송림산림욕장,자연관광,19256,1507
연포해수욕장,자연관광,17480,772
독산해수욕장,자연관광,17326,479
학암포해수욕장,자연관광,17196,1089
운여해변,자연관광,14759,972
황금산,자연관광,13992,3781
성주산자연휴양림,자연관광,13771,737
온빛자연휴양림,자연관광,13587,1236
오서산자연휴양림,자연관광,13276,849
희리산해송자연휴양림,자연관광,13102,302
천리포해수욕장,자연관광,12914,2205
신두리해수욕장,자연관광,12607,2913
강당골,자연관광,12436,779
바람아래해수욕장,자연관광,12135,439
샛별해수욕장,자연관광,12079,454
신진도,자연관광,11210,1937
밧개해수욕장,자연관광,10437,876
방포해수욕장,자연관광,10369,1339
비인해수욕장,자연관광,9959,314
안면도수목원,자연관광,9874,2418
용봉산자연휴양림,자연관광,8291,443
수락계곡,자연관광,7873,2566
궁리포구,자연관광,7831,427
칠갑산도립공원,자연관광,7229,351
남이자연휴양림,자연관광,7154,736
꾸지나무골해수욕장,자연관광,6679,460
용두해수욕장,자연관광,6639,679
어은돌해수욕장,자연관광,6618,390
백사장해수욕장,자연관광,6429,21585
팔봉산,자연관광,6350,4983
안면해수욕장,자연관광,6245,3420
대야도항,자연관광,5817,99
가야산,자연관광,5809,14997
도비도항,자연관광,5773,529
칠갑산자연휴양림,자연관광,5525,234
천리포항,자연관광,5301,101
웅도,자연관광,4911,2279
갈음이해수욕장,자연관광,4827,164
아미산,자연관광,4825,5012
오서산,자연관광,4498,3405
곰섬해수욕장,자연관광,4336,266
광덕산,자연관광,4085,6677
광덕산,자연관광,3771,6677
양촌자연휴양림,자연관광,3759,139
장삼포해수욕장,자연관광,3748,216
옥녀봉,자연관광,3734,9751
의항해수욕장,자연관광,3694,255
만수산자연휴양림,자연관광,3310,110
백리포해수욕장,자연관광,3215,218
어은돌항,자연관광,2907,101
성암저수지,자연관광,2890,137
성주계곡,자연관광,2830,3389
구례포해수욕장,자연관광,2710,250
계룡산국립공원,자연관광,2347,1904
구름포해수욕장,자연관광,2188,219
수룡항포구,자연관광,2172,50
대둔산자연휴양림,자연관광,2165,567
난지도해수욕장,자연관광,1958,243
갈목해변,자연관광,1830,73
천장호,자연관광,1702,1784
기지포해수욕장,자연관광,1634,453
두여해수욕장,자연관광,1593,166
만리포항,자연관광,1302,105
백월산,자연관광,1255,775
동학사계곡,자연관광,1234,2523
작천계곡,자연관광,1214,123
영인산,자연관광,1112,2345
장안해수욕장,자연관광,908,1640
덕산도립공원,자연관광,891,428
행담도,자연관광,760,3957
반산저수지,자연관광,726,63
설화산,자연관광,680,813
죽도,자연관광,659,109938
덕숭산,자연관광,626,1529
백화산,자연관광,626,2683
삼길포해수욕장,자연관광,619,197
냉천골계곡,자연관광,554,113
심연동계곡,자연관광,433,39
예당호출렁다리,기타관광,100524,3683
국립생태원,기타관광,64004,8505
탑정호출렁다리,기타관광,57837,3903
지중해마을,기타관광,49476,12663
천장호출렁다리,기타관광,27451,1330
내포보부상촌,기타관광,20952,1084
신성리갈대밭,기타관광,17558,1431
아산퍼스트빌리지공룡월드,기타관광,9173,444
적벽강,기타관광,6297,2460
로보카폴리안전체험공원,기타관광,4558,215
네이처월드,기타관광,4510,2728
충청남도안전체험관,기타관광,3317,365
안면도미로공원,기타관광,2808,282
천수만,기타관광,2061,4002
단풍나무숲길독립기념관,기타관광,1802,2495
안흥유람선,기타관광,927,91
서산해미읍성회화나무,기타관광,819,1455
할미할아비바위,기타관광,765,1460
석문국가산업단지음악분수대,기타관광,746,57
코끼리바위,기타관광,736,13268
사비도성가상체험관,기타관광,555,157
은포리해안도로,기타관광,376,9
홍성방조제,기타관광,151,451
신비의바닷길,기타관광,99,4901
독일마을,기타관광,57,19821
코끼리바위,기타관광,45,13268
