기준연월,지역명,검색량(건)
202201,서울특별시,71206
202202,서울특별시,79527
202203,서울특별시,84037
202204,서울특별시,108614
202205,서울특별시,98548
202206,서울특별시,155981
202207,서울특별시,177285
202208,서울특별시,170437
202209,서울특별시,128210
202210,서울특별시,131083
202211,서울특별시,125869
202212,서울특별시,152535
202201,제주특별자치도,152308
202202,제주특별자치도,116642
202203,제주특별자치도,133806
202204,제주특별자치도,128714
202205,제주특별자치도,132937
202206,제주특별자치도,152874
202207,제주특별자치도,216756
202208,제주특별자치도,196711
202209,제주특별자치도,137169
202210,제주특별자치도,176584
202211,제주특별자치도,157113
202212,제주특별자치도,170359
