기준년월,광역지자체,티맵카테고리중분류명,광역지자체 검색건수,광역지자체 전년도 검색건수
202201,전라북도,전체,680063,526013
202201,전라북도,자연관광,54215,46798
202201,전라북도,역사관광,49465,36889
202201,전라북도,체험관광,2317,1850
202201,전라북도,문화관광,77440,51969
202201,전라북도,레저스포츠,27720,14975
202201,전라북도,쇼핑,93864,78245
202201,전라북도,음식,247533,203082
202201,전라북도,숙박,90839,63729
202201,전라북도,기타관광,36670,28476
202202,전라북도,전체,682828,771199
202202,전라북도,자연관광,53904,70223
202202,전라북도,역사관광,49943,62656
202202,전라북도,체험관광,2173,2950
202202,전라북도,문화관광,76160,78758
202202,전라북도,레저스포츠,26458,27041
202202,전라북도,쇼핑,81320,97402
202202,전라북도,음식,261261,297770
202202,전라북도,숙박,97096,92546
202202,전라북도,기타관광,34513,41853
202203,전라북도,전체,673484,725150
202203,전라북도,자연관광,53297,57625
202203,전라북도,역사관광,45160,52455
202203,전라북도,체험관광,2811,2972
202203,전라북도,문화관광,68752,71226
202203,전라북도,레저스포츠,36025,34896
202203,전라북도,쇼핑,83665,95428
202203,전라북도,음식,270370,292938
202203,전라북도,숙박,80346,82435
202203,전라북도,기타관광,33058,35175
202204,전라북도,전체,1070013,839462
202204,전라북도,자연관광,94090,82517
202204,전라북도,역사관광,90776,73517
202204,전라북도,체험관광,8186,5864
202204,전라북도,문화관광,125977,92557
202204,전라북도,레저스포츠,49874,42916
202204,전라북도,쇼핑,101703,92518
202204,전라북도,음식,402874,301931
202204,전라북도,숙박,136175,101949
202204,전라북도,기타관광,60358,45693
202205,전라북도,전체,1282353,1073982
202205,전라북도,자연관광,115394,110462
202205,전라북도,역사관광,92030,85750
202205,전라북도,체험관광,10807,7069
202205,전라북도,문화관광,155093,120113
202205,전라북도,레저스포츠,59718,51361
202205,전라북도,쇼핑,115306,110412
202205,전라북도,음식,505597,395240
202205,전라북도,숙박,161036,132980
202205,전라북도,기타관광,67372,60595
202206,전라북도,전체,1232884,935720
202206,전라북도,자연관광,100609,98773
202206,전라북도,역사관광,72249,60972
202206,전라북도,체험관광,10477,5999
202206,전라북도,문화관광,125166,88581
202206,전라북도,레저스포츠,56142,52777
202206,전라북도,쇼핑,105423,96456
202206,전라북도,음식,524543,357462
202206,전라북도,숙박,181075,125627
202206,전라북도,기타관광,57200,49073
202207,전라북도,전체,1282812,1039021
202207,전라북도,자연관광,107402,117594
202207,전라북도,역사관광,63823,58222
202207,전라북도,체험관광,6445,4447
202207,전라북도,문화관광,119390,88667
202207,전라북도,레저스포츠,49363,44102
202207,전라북도,쇼핑,108843,102042
202207,전라북도,음식,559205,407393
202207,전라북도,숙박,216203,166890
202207,전라북도,기타관광,52138,49664
202208,전라북도,전체,1489264,1210192
202208,전라북도,자연관광,137100,154060
202208,전라북도,역사관광,85989,79414
202208,전라북도,체험관광,9807,4954
202208,전라북도,문화관광,140084,111027
202208,전라북도,레저스포츠,51649,45705
202208,전라북도,쇼핑,121724,108731
202208,전라북도,음식,622096,445745
202208,전라북도,숙박,252116,191532
202208,전라북도,기타관광,68699,69024
202209,전라북도,전체,1219816,1014523
202209,전라북도,자연관광,101160,111398
202209,전라북도,역사관광,85090,79233
202209,전라북도,체험관광,9231,7368
202209,전라북도,문화관광,133210,106152
202209,전라북도,레저스포츠,47954,49669
202209,전라북도,쇼핑,119491,115354
202209,전라북도,음식,484925,358405
202209,전라북도,숙박,157414,122544
202209,전라북도,기타관광,81341,64400
202210,전라북도,전체,1806065,1287131
202210,전라북도,자연관광,138458,131956
202210,전라북도,역사관광,120072,102253
202210,전라북도,체험관광,9964,9714
202210,전라북도,문화관광,244300,165930
202210,전라북도,레저스포츠,62854,57461
202210,전라북도,쇼핑,130594,113494
202210,전라북도,음식,603945,442074
202210,전라북도,숙박,227680,174043
202210,전라북도,기타관광,268198,90206
202211,전라북도,전체,1380198,1058581
202211,전라북도,자연관광,103319,98689
202211,전라북도,역사관광,92971,92617
202211,전라북도,체험관광,4912,4063
202211,전라북도,문화관광,113411,110938
202211,전라북도,레저스포츠,49357,46394
202211,전라북도,쇼핑,114673,100548
202211,전라북도,음식,496709,386527
202211,전라북도,숙박,169240,148112
202211,전라북도,기타관광,235606,70693
202212,전라북도,전체,1057746,740306
202212,전라북도,자연관광,39493,48068
202212,전라북도,역사관광,42762,46813
202212,전라북도,체험관광,3936,2346
202212,전라북도,문화관광,80401,79503
202212,전라북도,레저스포츠,25322,33173
202212,전라북도,쇼핑,105165,91076
202212,전라북도,음식,446289,290133
202212,전라북도,숙박,147781,114946
202212,전라북도,기타관광,166597,34248
