티맵카테고리중분류명,티맵카테고리중분류명,유형별 검색건수,유형별 검색건수 비율
자연관광,자연생태,92,0.0
자연관광,자연공원,299896,2.2
자연관광,자연경관(하천/해양),628487,4.5
자연관광,자연경관(산),169966,1.2
역사관광,종교성지,330727,2.4
역사관광,역사유적지,557151,4.0
역사관광,역사유물,2452,0.0
체험관광,공예체험,637,0.0
체험관광,농/산/어촌체험,51658,0.4
체험관광,웰니스관광,28771,0.2
문화관광,공연시설,214836,1.6
문화관광,테마공원,160940,1.2
문화관광,전시시설,225893,1.6
문화관광,복합관광시설,121143,0.9
문화관광,레저스포츠시설,184914,1.3
문화관광,랜드마크관광,34408,0.2
문화관광,도시공원,338951,2.4
문화관광,기타문화관광지,172808,1.2
문화관광,도시/지역문화관광,5491,0.0
레저스포츠,육상레저스포츠,504598,3.6
레저스포츠,기타레저스포츠,27056,0.2
레저스포츠,항공레저스포츠,183,0.0
레저스포츠,수상레저스포츠,10599,0.1
쇼핑,시장,394316,2.8
쇼핑,대형마트,574668,4.1
쇼핑,기타쇼핑시설,321,0.0
쇼핑,쇼핑몰,187924,1.4
쇼핑,백화점,124536,0.9
쇼핑,전문매장/상가,6,0.0
음식,외국식,539842,3.9
음식,음식점기타,40753,0.3
음식,전문음식,729187,5.3
음식,한식,2465846,17.8
음식,카페/찻집,1042188,7.5
음식,간이음식,607531,4.4
숙박,호스텔,46617,0.3
숙박,호텔,654029,4.7
숙박,펜션/민박,291654,2.1
숙박,콘도미니엄,211699,1.5
숙박,캠핑,185839,1.3
숙박,기타숙박,30116,0.2
숙박,모텔,497047,3.6
기타관광,교통시설,661448,4.8
기타관광,기타관광,495025,3.6
기타관광,데이트코스,5277,0.0
